"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90"
"Scaffold0_1411272" NA NA 1 NA NA NA NA NA NA NA NA 0 NA 1 1 1 NA NA NA NA 1 0 1 NA 1 1 0 NA 1 1 0 0 NA 0 1 NA 1 0 NA NA NA NA 1 NA 1 NA 1 NA 0 0 0 1 0 NA 0 0 NA NA NA NA 1 1 NA NA NA 0 NA 1 NA NA 1 0 0 NA NA 0 0 0 NA 1 0 NA 0 0 NA NA 1 0 0 1
"Scaffold0_1411284" NA NA 2 NA NA NA NA NA NA NA NA 1 NA 1 1 1 NA NA 1 NA 2 0 1 NA 2 1 1 NA 1 2 0 0 NA NA 2 NA 2 1 NA NA NA NA 1 2 1 NA 1 NA 0 0 1 2 0 NA 1 NA NA NA 1 2 2 1 NA NA NA 0 2 1 2 NA 2 0 1 NA NA 1 0 0 NA 2 1 NA 1 1 NA NA 1 0 0 2
"Scaffold0_1710852" NA NA 1 NA 2 NA NA NA NA NA NA NA NA NA 2 NA NA NA 1 1 NA 2 NA NA 1 NA NA 1 NA 1 2 NA 1 1 1 NA NA 1 NA 1 2 2 NA NA NA 1 NA 2 NA 2 NA 1 2 1 1 NA 2 NA NA 1 1 2 2 2 1 2 NA 2 1 1 NA 2 NA 2 NA 1 2 NA 2 1 NA NA NA 1 2 1 NA 2 NA NA
"Scaffold0_1879918" NA 0 1 NA 0 NA 1 0 1 NA 0 NA NA 0 0 NA 0 NA 1 NA 1 0 0 NA 1 NA 1 1 0 1 0 0 1 NA NA 1 1 1 NA NA 0 NA NA NA 0 1 0 NA 0 0 1 1 0 1 1 NA 0 NA NA 1 1 0 NA 0 NA 0 NA 0 NA NA NA 0 0 0 NA NA 0 NA 0 1 1 NA NA NA NA 1 0 NA 0 NA
"Scaffold0_2129056" NA 2 2 NA NA NA 1 NA 2 1 NA NA NA 2 NA 2 2 NA NA 1 2 1 2 NA 2 2 NA 1 NA 2 1 NA 1 1 2 NA 2 NA NA NA 2 1 2 2 2 1 2 NA NA 1 NA 2 NA 2 1 NA NA NA NA NA 2 NA 2 2 2 1 NA NA NA 1 2 1 1 NA 2 NA 1 1 2 NA 1 NA NA NA 1 NA 2 NA 1 NA
"Scaffold0_2152491" NA 2 NA NA 1 NA NA NA NA 1 1 NA NA 2 NA 2 NA 2 1 1 NA 1 2 NA NA NA 1 NA NA 2 NA NA 1 NA 2 2 2 NA NA NA NA 1 NA 2 NA 1 2 NA 1 1 NA NA NA NA 1 1 NA NA 1 2 2 2 NA NA NA NA NA 2 NA NA 2 1 1 NA 2 NA NA 1 2 NA 1 2 NA NA 1 2 2 NA 1 NA
"Scaffold0_2286517" 0 NA 0 NA NA NA 0 NA NA 1 NA 0 NA 1 1 1 1 0 0 0 0 1 1 NA 0 1 0 NA 1 0 NA NA NA NA 0 0 0 NA NA NA 1 1 NA NA 1 0 NA 1 1 1 0 NA 1 0 0 0 NA NA 0 0 NA NA 1 1 0 1 0 1 0 NA 0 1 1 1 1 0 NA 1 1 NA NA 1 0 0 1 NA 1 NA 1 0
"Scaffold0_2293262" NA 1 NA NA 1 NA NA NA NA 1 NA 1 NA 1 1 NA 1 0 NA 0 0 1 1 NA 0 1 NA 0 1 NA 1 NA NA NA 0 0 0 0 NA NA 0 1 1 0 1 0 NA 1 NA 1 NA 0 1 NA 0 0 1 NA 0 0 0 1 NA NA 0 NA NA NA 0 0 0 1 1 NA NA 0 1 NA 1 0 0 NA 0 0 NA NA 1 NA 1 0
"Scaffold0_2619282" NA NA NA NA NA NA NA 0 NA NA 0 0 NA 1 NA 1 NA NA NA 0 1 NA 1 NA 1 1 1 0 1 1 NA NA 0 NA 1 1 1 NA NA NA 1 NA NA 1 1 0 NA NA NA NA 0 1 0 NA NA NA NA NA 0 1 NA 1 NA NA NA 0 1 1 1 NA NA NA NA NA NA NA 0 0 NA NA NA NA NA 0 0 1 1 0 0 1
"Scaffold0_2841118" NA NA 1 0 0 NA NA NA NA 0 0 NA NA 1 1 1 NA 2 1 1 NA 0 1 NA 2 NA 1 NA NA NA NA NA NA 1 NA 2 2 1 NA NA 1 0 1 NA 1 1 1 0 1 NA 1 NA 0 2 1 NA NA 0 NA NA 2 1 1 NA NA NA 2 1 NA NA 2 0 NA NA NA 1 0 NA NA 2 1 NA NA 1 NA NA NA 0 NA 2
"Scaffold0_3051976" NA 1 1 NA 2 NA 1 NA NA 2 NA NA NA 1 1 NA NA 0 1 1 0 2 1 NA 0 NA 1 NA 1 NA 2 NA 1 NA 0 NA 0 NA NA NA 1 2 1 0 NA NA 1 NA NA NA NA NA 2 0 NA 1 NA NA 1 0 0 1 NA 1 NA 2 NA 1 0 1 1 2 2 1 NA NA 2 NA 1 NA NA NA NA 1 2 NA 1 2 NA NA
"Scaffold0_3087651" 2 1 NA NA 0 NA NA NA NA NA NA 1 NA NA NA 1 NA NA NA 1 2 0 1 NA 2 1 1 1 1 2 0 NA NA 1 2 2 2 1 1 1 1 0 1 NA 1 NA NA 0 NA 0 NA 2 NA 2 NA NA NA 0 NA NA NA 1 1 1 NA 0 NA NA 2 NA 1 0 0 NA 1 1 0 0 1 NA 1 NA NA 1 0 NA 1 0 0 NA
"Scaffold0_3238542" NA 0 NA NA 1 NA 2 NA NA 1 NA NA NA 0 NA 0 0 NA 2 NA 1 1 0 NA NA 0 2 2 0 NA 1 NA NA 2 1 1 NA NA NA NA 0 1 0 1 0 1 NA NA 0 1 2 1 1 NA NA 2 NA NA 2 NA NA 0 NA 0 1 1 1 0 1 NA NA 1 NA NA NA NA 1 NA 0 NA 2 NA 2 NA NA NA 0 1 1 NA
"Scaffold0_3238566" NA 1 NA NA 0 NA 0 NA NA 0 0 NA 1 1 1 1 1 NA 0 0 1 0 1 NA NA 1 0 0 1 NA 0 NA NA 0 1 1 NA NA NA 0 1 0 1 1 1 1 NA NA 1 0 0 1 0 NA NA 0 NA NA 0 NA 1 1 NA 1 1 0 1 1 1 NA NA 0 0 NA NA NA 0 NA 1 1 0 NA 0 NA NA NA 1 0 0 NA
"Scaffold0_3302889" 1 1 NA NA 0 NA NA 0 NA 0 0 0 NA 1 NA 1 1 NA 0 NA 1 0 1 NA 1 1 0 0 1 NA 0 0 0 NA 1 1 1 0 NA NA 1 0 NA 1 1 1 1 NA 1 0 0 1 0 1 0 0 NA NA 0 1 1 1 1 1 1 0 1 1 1 NA 0 0 0 NA NA 0 0 0 1 1 0 NA 0 0 NA NA 1 0 0 NA
"Scaffold0_3883323" NA 1 0 NA NA NA 0 NA NA 1 NA 0 0 1 NA NA 1 0 0 NA NA 1 NA NA NA NA NA 0 1 NA 1 NA NA 0 0 NA NA NA NA 0 1 1 1 0 1 0 1 1 NA 1 NA NA NA 0 NA 0 NA NA 0 0 0 NA 1 NA 0 1 0 NA NA NA 0 NA 1 NA 1 0 NA 1 NA NA NA NA 0 NA NA NA 1 1 1 NA
"Scaffold0_4360879" NA NA NA NA 0 NA 1 1 NA 0 0 1 NA NA 1 NA 1 NA 1 1 NA 1 1 NA NA 1 NA 1 1 NA NA NA NA NA 2 2 2 NA NA NA NA 0 1 2 NA 2 1 0 1 0 1 2 0 NA NA NA 1 NA 1 NA 2 1 1 1 2 0 NA 1 2 NA 1 0 NA NA NA NA 0 0 1 NA 1 NA 1 1 0 NA 1 0 0 2
"Scaffold0_4372446" 0 NA 1 NA 2 NA 1 1 NA 2 NA 1 0 1 NA 1 1 0 1 NA NA 1 NA NA 0 1 1 1 1 NA NA 2 1 NA NA 0 NA 1 NA NA 1 2 1 0 1 0 NA NA 1 2 1 0 2 0 2 NA NA 2 1 0 0 1 1 1 0 2 0 1 0 1 NA 2 NA NA NA 1 NA 2 NA NA NA NA 1 1 NA NA 1 2 2 0
"Scaffold0_4565014" NA 0 NA NA 0 0 1 NA NA NA 0 1 NA NA NA 0 0 1 1 1 NA 0 0 NA NA 0 1 NA 0 1 0 0 NA NA 1 1 1 1 NA 1 0 NA 0 1 NA 1 NA 0 NA 0 1 1 0 1 0 1 0 NA 1 1 1 0 0 0 1 NA NA NA 1 NA 1 0 0 NA NA NA NA 0 0 NA 1 NA NA NA 0 NA 0 NA NA NA
"Scaffold0_4596289" NA 1 2 NA NA NA 2 2 NA 1 NA NA NA 1 NA NA 1 2 2 2 NA 1 1 NA 2 1 2 2 1 2 1 NA 2 2 2 2 2 NA NA NA 1 1 NA 2 NA NA 1 NA 1 1 2 2 1 2 1 2 NA NA NA 2 NA NA 1 NA NA NA NA NA 2 NA 2 1 NA 1 NA NA 1 NA 1 NA 2 NA NA 2 1 2 1 1 1 2
"Scaffold0_4990115" 1 1 0 NA 0 NA 0 0 NA 0 0 0 NA NA 1 NA 1 1 NA NA 1 1 1 NA NA 1 NA 0 1 1 0 NA 0 NA 1 1 NA 0 NA NA 1 NA NA 1 1 1 1 NA 1 0 0 1 0 1 0 NA NA NA 0 1 1 1 1 1 1 0 NA 1 1 NA 0 0 NA NA NA 0 0 NA NA 1 0 NA NA 1 0 1 1 NA 0 1
"Scaffold0_5017786" NA NA NA NA NA NA 1 NA NA 0 NA NA NA 0 NA 0 0 1 NA 1 1 0 0 NA 1 0 NA 1 NA NA NA NA NA 1 1 1 NA 1 NA NA 0 0 0 1 0 1 NA 0 NA 0 1 1 NA 1 0 1 NA NA NA NA NA 0 NA NA NA NA 1 0 1 1 NA 0 NA NA NA 1 NA NA 0 1 1 NA 1 NA NA 1 0 NA 0 NA
"Scaffold0_5200341" NA 0 1 NA 0 NA 1 NA NA 0 NA NA 1 0 NA 0 NA NA 1 1 NA 0 NA NA 1 0 1 1 NA NA 0 NA NA NA 1 NA 1 1 0 NA 0 0 0 1 0 1 0 NA 0 0 1 1 0 1 0 1 NA 1 1 1 1 0 0 NA 1 1 NA 0 1 NA 1 0 0 NA NA 1 0 NA 0 NA NA NA 1 1 NA NA 0 0 0 1
"Scaffold0_5243591" NA NA NA NA NA 1 1 NA NA 0 NA NA 1 0 0 NA 0 1 1 1 NA 0 0 NA 1 0 1 1 0 1 0 NA NA NA 1 NA 1 1 0 1 0 0 NA 1 0 1 0 0 0 0 1 1 0 1 NA NA NA NA 1 NA NA 0 0 0 1 1 1 NA 1 1 1 0 NA NA NA 1 NA 0 0 NA NA NA NA NA 0 NA 0 NA 0 1
"Scaffold0_5591804" NA 1 1 NA NA NA 1 NA NA NA NA NA NA 1 NA 1 NA 0 1 NA NA 1 NA NA 0 1 0 NA NA NA NA NA 1 1 0 NA NA NA NA NA 1 2 1 NA NA 0 NA 2 NA 2 NA 0 2 0 1 0 NA NA 1 NA NA 1 1 NA NA NA 0 1 0 NA NA 2 2 NA NA 1 NA 2 NA NA 1 NA 1 0 NA NA 1 NA NA 0
"Scaffold0_6012620" NA NA 0 1 1 0 0 NA NA 1 1 NA NA 1 1 NA 1 0 0 0 NA 1 1 NA NA 1 0 0 1 0 1 NA 0 NA 0 0 0 NA NA NA 1 1 1 0 1 0 1 1 1 1 0 0 1 0 1 0 NA 0 0 0 0 1 1 1 0 0 0 NA 0 NA 0 1 NA NA NA 0 1 1 1 0 NA NA NA 0 1 NA 1 1 1 0
"Scaffold0_6054816" NA 0 1 NA NA 1 NA NA NA 0 0 1 1 0 NA 0 0 1 1 1 1 0 0 NA 1 0 1 1 0 1 0 NA 1 NA 1 1 1 1 0 1 0 NA 0 NA 0 1 0 NA 0 0 1 1 0 1 0 NA NA NA 1 NA 1 NA 0 0 1 1 1 0 1 1 1 0 0 0 0 NA 0 0 NA NA 1 NA NA 1 0 NA 0 NA 0 1
"Scaffold0_6153759" NA NA 2 NA 1 NA NA 2 NA 1 NA NA NA 0 NA NA 0 1 2 2 NA NA 0 NA 1 0 1 2 0 1 NA NA NA NA 1 NA 1 2 NA NA 0 1 NA 1 0 1 0 1 0 1 NA 1 1 1 0 NA NA 2 2 NA 1 NA 0 0 1 2 NA 0 NA NA NA 1 NA NA NA NA 1 1 NA NA 2 NA 1 1 1 NA 0 1 1 1
"Scaffold1_146120" NA 1 0 NA NA NA NA NA NA 0 NA NA NA 1 0 1 1 0 NA 0 NA 1 NA NA NA 1 0 1 1 NA 0 NA NA NA NA 1 0 0 NA NA 1 NA 0 NA 1 NA NA 1 1 0 NA NA 0 NA NA NA NA NA NA 0 0 1 0 1 NA NA 0 0 NA 0 NA 0 0 NA NA 0 0 NA 0 0 1 NA 1 NA 1 NA 1 1 0 0
"Scaffold1_292020" NA 0 NA NA 0 NA 1 0 NA 1 NA 1 0 NA 0 1 1 0 NA 0 1 1 NA NA NA 1 0 1 0 1 1 NA NA 1 0 0 0 1 NA NA 1 0 1 1 1 0 1 NA 0 1 1 1 NA 0 1 1 NA NA 0 1 NA 0 0 NA 0 0 NA NA 1 NA NA 0 0 0 NA NA 1 NA NA 0 0 1 NA 0 1 NA 0 NA 0 NA
"Scaffold1_349301" 0 NA 0 NA 0 1 NA 0 1 NA 1 1 NA 1 NA 1 1 0 1 NA 1 1 NA NA NA 1 0 1 NA 1 1 NA 1 1 0 0 NA NA NA NA 1 NA 1 NA NA 0 1 NA 0 1 1 1 0 NA 1 1 NA 0 0 1 0 0 0 1 0 0 1 NA 1 NA 1 0 0 NA 1 1 1 0 1 NA NA NA 0 0 1 NA 0 NA 0 NA
"Scaffold1_641852" NA NA NA NA 1 NA 0 1 NA 0 0 1 NA NA NA NA 1 1 0 1 0 1 1 NA 1 1 1 1 2 NA 0 NA NA 1 2 NA NA 0 NA NA 1 NA NA NA 1 2 0 1 2 0 1 1 1 NA NA NA NA NA 1 0 1 2 1 1 1 NA NA NA 0 0 NA 1 1 NA 1 0 0 2 0 NA NA NA NA NA 1 NA 2 1 1 NA
"Scaffold1_694886" NA 1 NA NA NA NA 0 NA NA 0 0 NA NA 1 0 NA 1 0 NA 0 0 1 0 NA NA 1 NA NA 1 NA 0 NA NA NA 1 NA NA 0 NA NA 1 NA NA 1 NA 1 0 NA 1 0 NA 1 NA 1 NA 1 NA NA 0 0 NA 1 0 NA 0 0 NA 0 0 NA 1 0 NA NA NA 0 0 1 0 NA NA NA 1 1 1 NA 1 1 0 NA
"Scaffold1_780090" NA 0 1 NA NA NA 0 1 NA 0 0 NA NA 0 NA 0 0 1 0 1 NA 0 1 NA 0 0 NA 0 1 NA 0 NA NA NA 1 1 1 0 0 NA 0 1 0 NA 0 NA 0 NA 1 0 NA NA 1 1 NA 0 0 NA 1 0 1 1 1 0 0 1 NA 0 0 NA 0 1 NA NA 0 0 NA NA 0 0 0 NA 1 NA 0 NA 1 0 1 0
"Scaffold1_1304686" NA 0 NA NA 1 0 1 1 NA 1 NA 0 NA 0 NA 0 0 NA NA 1 1 0 1 NA 0 0 1 0 0 1 1 NA 0 0 0 NA 1 NA NA NA 0 NA 1 NA 0 NA 1 NA 0 1 0 NA 1 NA 0 0 NA NA 1 1 1 NA NA NA NA 1 1 NA NA NA 0 1 NA NA 0 NA 1 NA NA NA 0 NA 0 0 NA NA 0 0 NA NA
"Scaffold1_1390994" NA 1 NA NA 0 2 1 NA NA 1 NA 2 NA 2 0 2 2 0 NA 0 1 2 0 NA 2 2 0 NA 1 NA NA NA 1 NA 1 1 0 NA NA NA NA 1 1 NA 2 1 1 2 1 1 2 NA 0 1 2 1 NA NA 0 1 NA 1 0 2 NA NA NA 1 1 NA 2 0 0 NA NA 1 1 1 1 1 2 NA 1 NA 2 NA 1 NA 0 1
"Scaffold1_1501395" NA 1 NA NA 0 NA NA 0 NA 0 0 NA NA 1 NA 1 1 NA 0 NA 0 NA 0 NA 1 1 0 1 1 NA NA 1 NA 1 NA 1 NA 0 NA NA 1 NA NA NA 1 1 0 1 1 0 1 NA 0 1 1 1 1 NA 0 0 NA 1 0 NA 0 0 0 0 NA NA 1 0 NA NA NA NA 0 NA 0 NA 1 NA 1 NA NA NA 1 1 0 0
"Scaffold1b_1740178" 1 NA NA NA NA 0 NA NA NA 1 NA 0 NA NA NA 0 0 1 1 1 0 0 NA NA NA NA NA NA 0 1 NA NA NA NA 1 1 NA NA NA NA 0 NA 0 0 0 0 1 NA 0 0 0 1 1 0 NA NA 0 NA 1 1 1 NA NA 0 NA NA NA NA 1 NA 1 1 NA NA NA 0 NA NA NA NA 0 1 NA NA NA 1 NA 1 NA 0
"Scaffold1_1836828" NA 0 NA NA NA NA NA NA NA NA 1 1 NA 1 NA 1 1 NA 1 0 NA 1 0 NA 1 1 0 1 0 NA 1 NA 0 NA 0 NA 0 NA NA 1 1 0 NA NA NA 0 1 NA NA 1 1 NA NA 0 NA NA NA 0 NA 1 NA NA NA 1 NA NA NA NA 1 NA 1 0 0 NA NA 1 1 NA 1 1 1 NA 0 0 NA NA 0 NA NA NA
"Scaffold1_1871426" NA NA 0 NA 0 NA 0 0 NA NA 0 NA NA 1 0 NA NA 0 0 0 NA 1 NA NA NA 1 NA NA 1 NA 0 NA NA 1 1 1 NA 0 NA NA NA NA 0 1 NA 1 0 1 NA 0 1 1 NA 1 1 NA NA NA 0 NA NA 1 0 1 0 NA NA NA NA NA NA 0 NA NA NA 0 0 1 NA NA 1 NA 1 NA NA NA 1 1 NA NA
"Scaffold1_1912012" NA NA 1 NA 1 2 NA NA NA 1 NA 2 NA 2 NA 2 NA 1 1 NA 1 2 1 NA NA NA NA 2 2 NA NA NA NA 2 2 2 1 1 NA NA 2 NA NA 2 NA 2 1 NA 2 NA 2 NA 1 2 2 2 2 NA 1 1 NA 2 1 NA NA 1 1 1 1 NA 2 1 1 NA NA NA 1 NA 1 NA NA NA 2 2 NA NA 2 2 1 1
"Scaffold1_1929309" 1 1 1 NA 1 NA 2 NA NA 2 2 2 NA 2 1 NA 2 1 2 NA 2 2 1 NA NA 2 1 2 1 2 2 NA NA NA 1 1 1 2 2 NA 2 1 2 2 2 1 2 NA NA 2 2 2 NA NA NA 1 2 1 1 2 NA 1 1 2 2 1 2 NA 2 NA NA 1 1 NA NA 2 NA 1 2 2 2 NA 1 1 NA 1 1 NA 1 2
"Scaffold1_1943586" NA 2 1 NA 1 NA 1 NA NA 1 1 NA NA 2 NA NA 2 1 1 1 1 2 1 NA 2 2 NA 2 2 NA NA NA NA NA 2 2 NA 1 NA NA NA NA NA NA 2 NA 1 2 2 1 NA 2 NA 2 NA NA NA 2 NA 1 1 2 1 2 1 NA NA NA 1 1 2 1 1 1 NA 1 NA 2 1 NA 2 NA 2 2 2 NA 2 NA 1 1
"Scaffold1_1976295" NA NA 1 NA 1 2 NA 1 NA 1 2 2 NA 2 1 2 NA 1 1 1 1 2 1 2 2 NA 1 2 2 NA 1 2 2 2 2 2 1 NA 2 NA 2 2 1 2 2 2 NA 2 2 1 2 NA 1 2 2 2 NA NA 1 1 1 2 1 2 1 1 1 NA 1 1 2 1 NA NA 2 1 NA 2 1 NA 2 NA NA 2 2 NA 2 NA 1 1
"Scaffold1_2241860" NA 0 NA NA 1 NA NA NA NA NA 1 0 NA 0 1 0 0 1 NA NA 1 0 NA NA NA 0 1 NA 0 1 1 NA 0 0 NA NA 1 1 0 0 NA 0 NA NA 0 0 NA 0 0 1 0 0 NA 0 0 0 0 NA 1 1 NA 0 NA 0 NA 1 NA 1 1 NA 0 1 1 NA NA 1 NA 0 1 NA 0 NA NA 0 NA 0 0 0 NA NA
"Scaffold1_2274943" NA NA 1 NA NA NA 2 NA NA 2 2 NA NA 1 NA 1 NA NA 2 NA NA 1 1 NA NA 1 NA NA 0 NA NA NA NA NA NA 0 1 NA NA 1 1 NA NA NA 2 0 2 1 0 2 1 1 1 0 1 0 NA NA 1 NA 1 0 NA NA 2 1 2 2 2 2 1 1 1 1 NA 2 2 0 2 NA 1 NA 0 NA NA 0 0 1 1 NA
"Scaffold1_2309724" NA NA 1 NA 1 NA 1 NA NA 1 1 0 NA 0 1 0 NA NA 1 NA 1 0 1 NA 0 0 1 0 0 1 1 NA NA NA 0 0 1 1 0 NA 0 NA NA 0 0 0 1 0 0 1 NA 0 1 0 0 NA 0 NA 1 NA NA 0 NA 0 NA 1 1 NA 1 NA NA 1 NA NA NA 1 1 0 1 NA NA NA NA NA 0 NA 0 NA 1 1
"Scaffold1_2700034" 0 NA 1 NA NA NA NA 1 NA 1 1 0 NA 0 NA 0 0 1 1 1 1 0 NA NA 0 0 NA 0 0 1 1 0 NA NA 0 0 1 NA NA NA 0 NA 1 0 0 0 1 NA 0 1 NA 0 1 0 0 NA 0 NA NA NA 1 0 1 NA NA 1 1 1 NA NA 0 NA 1 1 NA 1 1 0 1 1 NA NA NA 0 NA NA 0 NA NA 1
"Scaffold1_2948482" NA NA 1 NA NA NA NA 1 1 0 0 1 1 1 NA NA 1 NA NA 1 NA 1 1 NA 1 1 NA NA NA NA 0 NA NA NA 2 NA NA 0 NA NA 1 2 0 NA 1 2 0 NA 2 0 1 1 1 1 NA NA NA NA NA NA NA 2 1 NA 0 1 0 NA 0 NA 1 1 NA NA NA NA NA 2 0 NA NA NA 2 NA 1 NA NA NA 1 0
"Scaffold1_3753163" NA NA NA NA 0 NA NA 0 NA 0 NA 1 NA 1 0 NA 1 0 0 0 NA 1 0 NA 1 1 NA 1 NA 0 0 NA NA NA 1 1 0 0 NA NA 1 NA NA NA 1 1 0 NA 1 0 1 1 0 0 1 NA NA NA 0 NA 0 1 NA 1 0 0 0 0 0 NA 1 0 0 NA NA 0 0 1 0 NA 1 NA 1 1 NA NA 1 NA 0 0
"Scaffold1_4167297" NA NA 1 NA NA 0 NA 1 NA 1 NA NA NA 0 1 0 0 1 1 1 1 0 NA NA 0 0 NA 0 0 NA NA NA 0 NA 0 0 0 1 0 NA 0 0 NA 0 NA 0 1 0 0 1 0 0 1 1 0 0 NA 0 NA 1 1 0 NA 0 NA 1 1 1 NA 1 0 1 NA NA NA NA 1 0 1 NA 0 NA NA 0 NA NA 0 0 1 1
"Scaffold1_4237894" 0 0 1 NA NA NA 1 NA NA 1 1 0 NA 0 1 NA NA 0 1 1 NA 0 1 NA NA NA NA 0 0 1 NA NA NA NA NA 0 1 1 NA NA 0 NA 1 0 0 0 1 0 0 1 0 0 1 1 0 NA NA NA 1 NA 1 0 1 0 NA NA NA 1 1 1 0 1 NA NA NA NA NA 0 NA 1 0 NA 0 NA NA NA 0 NA NA 1
